City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Saint Anthony,US,85.62,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
257,Anqiu,CN,77.68,few clouds,36.4342,119.1925,Super 8 Anqiu Heping Road Coach Station
258,Maneadero,MX,78.1,clear sky,31.7167,-116.5667,Casa De Thompson
266,Marzuq,YE,78.73,clear sky,14.4,46.4667,
267,Chapais,CA,78.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
271,Tortoli,IT,78.62,clear sky,39.9256,9.6572,Hotel La Bitta
272,Koroni,GR,82.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
273,Jorochito,BO,77.32,clear sky,-18.05,-63.4333,Tom´s Hauss
275,San Carlos,VE,75.56,light rain,9.6612,-68.5827,Hotel Paternopoli
279,Fuyu,CN,77.79,clear sky,45.1833,124.8167,Education Hostel
280,Cabra,ES,79.86,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
282,Dakar,SN,80.73,scattered clouds,14.6937,-17.4441,Novotel Dakar
283,Lorengau,PG,84.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
287,Masallatah,LY,77.05,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
293,Utica,US,77.92,overcast clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
295,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
299,Sibolga,ID,75.74,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
305,Lompoc,US,76.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
306,Shenjiamen,CN,82.8,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
309,Dingle,PH,78.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
312,Luzhou,CN,77.45,broken clouds,28.8724,105.4405,Shijichun Hotel
314,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
319,Wanning,CN,80.78,clear sky,18.8003,110.3967,Paradise Hotel
321,Dandong,CN,77.47,overcast clouds,40.1292,124.3947,Yiranju Farmstay
322,Maumere,ID,76.66,broken clouds,-8.6199,122.2111,Sylvia Hotel
323,Alugan,PH,81.36,overcast clouds,12.2188,125.4808,JM Lodge
325,Agua Verde,MX,84.02,overcast clouds,22.9,-106.05,
333,Zhenlai,CN,77.72,few clouds,45.8495,123.2973,
335,Punto Fijo,VE,81.61,scattered clouds,11.6956,-70.1996,Santa Fe Inn Hotel
340,Fukue,JP,81.91,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
349,Nova Olimpia,BR,79.61,clear sky,-14.7972,-57.2881,Motel glamour
358,Lubao,PH,78.51,light rain,14.9167,120.55,Hacienda Gracia
359,Yashalta,RU,79.79,scattered clouds,46.3395,42.2762,
361,Kanker,IN,76.57,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
366,Nouakchott,MR,82.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
367,Conceicao Do Araguaia,BR,86.68,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
371,Buraydah,SA,88.25,overcast clouds,26.326,43.975,Mövenpick Qassim
374,Fonte Boa,BR,78.49,broken clouds,-2.4959,-66.2662,
377,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
379,Borogontsy,RU,76.46,overcast clouds,62.6683,131.1683,
381,Catia La Mar,VE,79.0,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
384,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
389,Qui Nhon,VN,78.06,overcast clouds,13.7667,109.2333,Seagull Hotel
391,Half Moon Bay,US,78.53,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
394,Bud,US,82.92,clear sky,39.447,-86.1758,Ted McQuinn Trust
399,Eureka,US,79.66,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
405,Mana,GF,78.24,scattered clouds,5.6592,-53.7767,LE SAMANA
406,Vanimo,PG,79.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
