City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Severo-Yeniseyskiy,RU,60.3725,93.0408,51.6,95,100,3.49,overcast clouds
80,Mahebourg,MU,-20.4081,57.7,70.25,73,75,11.5,broken clouds
81,Biograd Na Moru,HR,43.9433,15.4519,68.7,48,0,6.44,clear sky
82,Santa Cruz,BO,-17.8,-63.1667,78.85,53,20,13.8,few clouds
83,Kaitangata,NZ,-46.2817,169.8464,41.95,77,7,7.31,clear sky
84,Chokurdakh,RU,70.6333,147.9167,70.77,47,100,12.46,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,50.41,66,96,1.12,overcast clouds
86,Grand-Lahou,CI,5.1367,-5.0242,75.27,81,90,13.27,overcast clouds
87,Biak,ID,-0.9131,122.8766,76.1,86,100,4.68,overcast clouds
88,Hobart,AU,-42.8794,147.3294,51.26,74,99,4.0,light rain
89,Gberia Fotombu,SL,9.8833,-11.1667,69.31,99,100,6.2,light rain
90,Bethel,US,41.3712,-73.414,83.35,61,86,6.46,overcast clouds
91,Marystown,CA,47.1666,-55.1483,65.86,100,7,7.0,clear sky
92,Touba,CI,8.2833,-7.6833,69.48,95,97,4.18,overcast clouds
93,Katsuura,JP,35.1333,140.3,84.56,76,82,5.14,broken clouds
94,Yellowknife,CA,62.456,-114.3525,64.92,45,40,4.61,scattered clouds
95,Burnie,AU,-41.0667,145.9167,45.95,90,86,12.75,overcast clouds
96,Cayenne,GF,4.9333,-52.3333,83.08,1,20,4.61,few clouds
97,Puerto Escondido,MX,15.85,-97.0667,88.63,62,40,9.22,scattered clouds
98,Harper,LR,4.375,-7.7169,75.18,81,100,13.42,overcast clouds
99,Isangel,VU,-19.55,169.2667,75.04,84,96,14.7,overcast clouds
100,Krasnoselkup,RU,65.7,82.4667,45.14,73,6,20.65,clear sky
101,Kudahuvadhoo,MV,2.6708,72.8944,80.82,74,100,24.65,moderate rain
102,Leshukonskoye,RU,64.8989,45.7622,57.92,98,99,2.73,overcast clouds
103,San Patricio,US,28.017,-97.5169,97.52,50,50,17.31,scattered clouds
104,Provideniya,RU,64.3833,-173.3,48.36,81,0,8.95,clear sky
105,New Norfolk,AU,-42.7826,147.0587,50.92,80,99,7.0,light rain
106,Tilichiki,RU,60.4667,166.1,54.61,65,78,4.38,broken clouds
107,Samfya,ZM,-11.3649,29.5565,60.55,49,1,7.27,clear sky
108,Tuatapere,NZ,-46.1333,167.6833,44.17,85,84,8.12,broken clouds
109,Deputatskiy,RU,69.3,139.9,68.74,66,75,2.84,broken clouds
110,Kolpashevo,RU,58.3131,82.9089,55.24,64,100,12.37,overcast clouds
111,Tulagi,SB,-9.0996,160.1476,82.83,75,4,18.92,clear sky
112,Tiksi,RU,71.6872,128.8694,42.08,94,100,14.05,light rain
113,Pangnirtung,CA,66.1451,-65.7125,49.44,79,99,1.43,overcast clouds
114,Roald,NO,62.5833,6.1333,56.16,82,40,3.44,scattered clouds
115,Hermanus,ZA,-34.4187,19.2345,48.78,72,2,6.64,clear sky
116,Vardo,NO,70.3705,31.1107,51.78,100,100,2.3,fog
117,Jalu,LY,29.0331,21.5482,81.37,58,0,16.28,clear sky
118,San Quintin,MX,30.4833,-115.95,76.17,60,26,10.27,scattered clouds
119,Mobaye,CF,4.319,21.1786,68.52,94,99,1.83,overcast clouds
120,Saint-Joseph,RE,-21.3667,55.6167,65.21,79,36,11.03,scattered clouds
121,Byron Bay,AU,-28.65,153.6167,55.94,85,100,7.92,overcast clouds
122,Kadrina,EE,59.3347,26.145,60.01,74,100,2.73,overcast clouds
123,Barrhead,GB,55.7992,-4.3929,53.11,86,26,5.99,scattered clouds
124,Havelock,US,34.8791,-76.9013,81.93,89,0,5.75,thunderstorm
125,Qaanaaq,GL,77.484,-69.3632,46.33,60,66,1.41,broken clouds
126,Mitu,CO,1.1983,-70.1733,73.58,96,48,0.96,scattered clouds
127,Castro,BR,-24.7911,-50.0119,53.8,75,0,1.41,clear sky
128,Turbat,PK,26.0023,63.044,79.95,91,73,5.77,broken clouds
129,Nyurba,RU,63.2842,118.3319,69.53,72,61,4.52,broken clouds
130,Trzic,SI,46.3636,14.3105,67.82,50,40,2.3,scattered clouds
131,Omsukchan,RU,62.5333,155.8,56.73,57,6,10.33,clear sky
132,San Ramon,US,37.7799,-121.978,78.42,66,0,16.11,clear sky
133,Mezen,RU,65.8522,44.24,58.03,98,100,4.07,overcast clouds
134,Roma,US,43.2128,-75.4557,78.94,65,40,4.61,scattered clouds
135,Margate,GB,51.3813,1.3862,67.3,90,97,3.0,overcast clouds
136,Kirakira,SB,-10.4544,161.9205,83.41,75,26,12.26,scattered clouds
137,Hofn,IS,64.2539,-15.2082,52.41,62,82,10.38,broken clouds
138,Nampula,MZ,-15.1165,39.2666,66.15,94,40,1.14,scattered clouds
139,Melfort,CA,52.8667,-104.6177,68.13,68,96,5.75,overcast clouds
140,Geraldton,AU,-28.7667,114.6,59.41,67,100,23.02,overcast clouds
141,Westport,US,41.1415,-73.3579,83.46,62,0,10.36,clear sky
142,Baykit,RU,61.67,96.37,60.82,91,87,3.56,overcast clouds
143,Saint-Philippe,RE,-21.3585,55.7679,66.22,80,62,14.52,broken clouds
144,Rantepao,ID,-2.9701,119.8978,68.47,97,100,1.01,overcast clouds
145,Barranca,PE,-10.75,-77.7667,62.31,78,20,8.81,few clouds
146,Mackay,AU,-21.15,149.2,66.69,77,72,7.81,broken clouds
147,Kivertsi,UA,50.8343,25.4582,63.91,99,100,2.48,overcast clouds
148,Hithadhoo,MV,-0.6,73.0833,80.47,74,100,16.08,overcast clouds
149,Cidreira,BR,-30.1811,-50.2056,59.23,87,89,9.8,overcast clouds
150,Saskylakh,RU,71.9167,114.0833,44.62,82,99,11.3,overcast clouds
151,Agadez,NE,19.75,10.25,89.56,31,46,12.71,scattered clouds
152,Haines Junction,CA,60.7522,-137.5108,62.55,63,95,5.75,overcast clouds
153,Shiraoi,JP,42.55,141.35,75.38,92,100,4.68,overcast clouds
154,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,75,11.5,broken clouds
155,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,broken clouds
156,Sambava,MG,-14.2667,50.1667,66.49,91,24,10.18,few clouds
157,Vestmannaeyjar,IS,63.4427,-20.2734,49.87,74,71,18.45,broken clouds
158,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,83,20,6.55,few clouds
159,Singaraja,ID,-8.112,115.0882,75.88,72,76,2.06,broken clouds
160,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,59,40,5.75,scattered clouds
161,Najran,SA,17.4924,44.1277,84.85,55,43,5.41,scattered clouds
162,Ribeira Grande,PT,38.5167,-28.7,74.12,73,16,2.91,few clouds
163,Rundu,NA,-17.9333,19.7667,58.6,28,1,6.62,clear sky
164,Lac-Megantic,CA,45.5834,-70.8823,76.51,69,82,6.33,broken clouds
165,Lusambo,CD,-4.9667,23.45,70.14,73,66,2.08,broken clouds
166,Hasaki,JP,35.7333,140.8333,86.29,75,98,1.07,overcast clouds
167,Port-Cartier,CA,50.0334,-66.8654,78.48,80,69,3.62,broken clouds
168,Pacific Grove,US,36.6177,-121.9166,81.55,82,0,11.5,clear sky
169,Clyde River,CA,70.4692,-68.5914,37.63,93,75,8.05,broken clouds
170,Avarua,CK,-21.2078,-159.775,78.85,65,25,17.27,scattered clouds
171,Beaver Falls,US,40.752,-80.3192,82.35,41,0,4.61,clear sky
172,Codrington,AU,-38.2667,141.9667,46.08,91,33,16.2,scattered clouds
173,Victoria,HK,22.2855,114.1577,84.96,78,7,8.3,clear sky
174,Bubaque,GW,11.2833,-15.8333,79.52,78,97,16.02,overcast clouds
175,Sadat,IN,25.6833,83.2833,87.08,65,100,5.39,overcast clouds
176,Kapit,MY,2.0167,112.9333,73.2,98,100,1.32,overcast clouds
177,Khorixas,NA,-20.3667,14.9667,43.36,91,2,4.07,clear sky
178,Guerrero Negro,MX,27.9769,-114.0611,84.18,45,13,13.29,few clouds
179,Port Alfred,ZA,-33.5906,26.891,53.08,73,18,11.52,few clouds
180,Khani,GE,41.9563,42.9566,62.17,81,38,4.52,scattered clouds
181,Broken Hill,AU,-31.95,141.4333,46.8,68,0,6.73,clear sky
182,Todos Santos,MX,23.45,-110.2167,91.04,70,97,5.93,overcast clouds
183,Saldanha,ZA,-33.0117,17.9442,44.65,79,0,13.96,clear sky
184,Bengkulu,ID,-3.8004,102.2655,74.91,88,91,4.54,overcast clouds
185,Tura,IN,25.5198,90.2201,73.65,99,100,5.75,overcast clouds
186,Bonavista,CA,48.6499,-53.1147,63.27,81,66,2.53,broken clouds
187,Butaritari,KI,3.0707,172.7902,81.34,78,58,13.89,broken clouds
188,Ushtobe,KZ,45.2514,77.9838,69.96,45,27,3.76,scattered clouds
189,Alikalia,SL,9.1667,-11.4,69.73,99,86,3.56,light rain
190,Malakal,SS,9.5334,31.6605,71.85,94,100,3.24,overcast clouds
191,Henties Bay,NA,-22.116,14.2845,53.53,76,72,2.51,broken clouds
192,Jumla,NP,29.2747,82.1838,61.27,96,98,0.49,overcast clouds
193,Villefontaine,FR,45.6125,5.1456,74.66,50,0,4.61,clear sky
194,Miri,MY,4.4148,114.0089,73.54,94,40,8.05,scattered clouds
195,Carnarvon,AU,-24.8667,113.6333,69.6,57,100,10.25,overcast clouds
196,Taltal,CL,-25.4,-70.4833,59.23,82,24,5.28,few clouds
197,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,82,0,14.97,clear sky
198,Luohe,CN,33.5717,114.0353,79.27,77,0,2.04,clear sky
199,Rodrigues Alves,BR,-7.738,-72.6509,84.4,66,89,2.93,overcast clouds
200,Cherskiy,RU,68.75,161.3,67.95,41,17,19.24,few clouds
201,Maniitsoq,GL,65.4167,-52.9,41.76,91,67,6.69,broken clouds
202,Katherine,AU,-14.4667,132.2667,66.52,63,80,5.75,broken clouds
203,Leh,IN,34.1667,77.5833,60.01,55,40,5.55,scattered clouds
204,Oistins,BB,13.0667,-59.5333,82.49,78,40,19.57,scattered clouds
205,Dalby,AU,-27.1833,151.2667,54.99,87,100,13.09,overcast clouds
206,Lavrentiya,RU,65.5833,-171.0,48.38,69,52,3.42,broken clouds
